Rating,Title,Review_text,Sentiment
6.0,"Stree 2 was about 45 minutes too long. Stree 2 was funny in the first half of the movie. It had great call backs to the OG Stree. The actors did a really good job reviving their characters. One of the newer characters played by a famous actor felt out of place because it made the film less grounded. The characters from other films that were on the movie felt shoehorned in and not in any way organic and faithful to the world building of the film. The effects of Sarkata were pretty well done.

Compared to first Stree as an allegory, Stree 2 pales in comparison.

The climax was too drawn out and did not follow the rules of the works that it had established.","Stree 2 was about 45 minutes too long. Stree 2 was funny in the first half of the movie. It had great call backs to the OG Stree. The actors did a really good job reviving their characters. One of the newer characters played by a famous actor felt out of place because it made the film less grounded. The characters from other films that were on the movie felt shoehorned in and not in any way organic and faithful to the world building of the film. The effects of Sarkata were pretty well done.

Compared to first Stree as an allegory, Stree 2 pales in comparison.

The climax was too drawn out and did not follow the rules of the works that it had established.",1
6.0,"Stree 2 is an above average horror comedy film, which will entertain you well. Don't expect too much from this movie as it will make you laugh out loud or scare you more than Stree. The plus point of Stree 2 is the story that keeps the audience engaged till the end. The makers of the film have presented the story well to the audience.

Talking about Rajkumar Rao, like Stree, he has done an amazing job in the film Stree 2 also. Today, there is hardly any other actor ahead of him in DIALOGUE DELIVERY with excellent expression. Shraddha Kapoor will be seen in an important role in this film. Pankaj Tripathi has played his character well. Similarly, Abhishek Banerjee has also continued his BHEDIYA acting. If we talk about Aparshakti Khurana's acting, you will clearly see the flavor of OVERDOSE in it.

Apart from all this, CAMEO has been used in the right way and at the right place in the film. Especially AKSHAY KUMAR has increased the excitement of the audience by entering this horror comedy universe. Apart from this, you will like the music of the film very much. But the romantic song of Varun Dhawan and Shraddha Kapoor appears forced. Finally, one more thing is that the makers of the film failed to display the post credit scene of Stree 2 properly.","Stree 2 is an above average horror comedy film, which will entertain you well. Don't expect too much from this movie as it will make you laugh out loud or scare you more than Stree. The plus point of Stree 2 is the story that keeps the audience engaged till the end. The makers of the film have presented the story well to the audience.

Talking about Rajkumar Rao, like Stree, he has done an amazing job in the film Stree 2 also. Today, there is hardly any other actor ahead of him in DIALOGUE DELIVERY with excellent expression. Shraddha Kapoor will be seen in an important role in this film. Pankaj Tripathi has played his character well. Similarly, Abhishek Banerjee has also continued his BHEDIYA acting. If we talk about Aparshakti Khurana's acting, you will clearly see the flavor of OVERDOSE in it.

Apart from all this, CAMEO has been used in the right way and at the right place in the film. Especially AKSHAY KUMAR has increased the excitement of the audience by entering this horror comedy universe. Apart from this, you will like the music of the film very much. But the romantic song of Varun Dhawan and Shraddha Kapoor appears forced. Finally, one more thing is that the makers of the film failed to display the post credit scene of Stree 2 properly.",1
7.0,"The movie is quite impressive, with excellent conceptualization and reveals. The special cameos and everything combined create both an expected and unexpected perspective that we've all been anticipating from this franchise-or you might say, from this cinematic universe. However, the one thing that disappoints is the ending. It feels clumsy, as if everything was just pieced together without any real thought. It's almost as if the editor was simply told to stitch the clips together, resulting in a lack of smoothness towards the end. The music cuts abruptly, then suddenly resumes, making it feel like the movie ended, and someone just grabbed a random song from YouTube, pasted it, inserted a scene, and then added another YouTube song. It's clear that there were some editing issues towards the end.

Additionally, all the heavy comedy moments were already revealed in the trailer, leaving nothing new or surprising in terms of humor.","The movie is quite impressive, with excellent conceptualization and reveals. The special cameos and everything combined create both an expected and unexpected perspective that we've all been anticipating from this franchise-or you might say, from this cinematic universe. However, the one thing that disappoints is the ending. It feels clumsy, as if everything was just pieced together without any real thought. It's almost as if the editor was simply told to stitch the clips together, resulting in a lack of smoothness towards the end. The music cuts abruptly, then suddenly resumes, making it feel like the movie ended, and someone just grabbed a random song from YouTube, pasted it, inserted a scene, and then added another YouTube song. It's clear that there were some editing issues towards the end.

Additionally, all the heavy comedy moments were already revealed in the trailer, leaving nothing new or surprising in terms of humor.",1
,"Useless jokes, music romance all ruined the movie. In the serious moment comedy is added which is not compulsory. Giving it 1 ⭐. Every jokes is just bla bla. One of the most glaring issues with Stree 2 is its over-reliance on comedy that simply doesn't land. Where the first film skillfully blended horror with humor, this sequel seems to think that more jokes automatically equal more laughs. The result is a barrage of unnecessary gags that feel out of place and forced. Instead of enhancing the narrative, the comedy detracts from it, making the film feel more like a disjointed sketch show than a cohesive story. The humor, which once felt organic and cleverly woven into the plot, now feels like a desperate attempt to recreate the magic of the original.","Useless jokes, music romance all ruined the movie. In the serious moment comedy is added which is not compulsory. Giving it 1 ⭐. Every jokes is just bla bla. One of the most glaring issues with Stree 2 is its over-reliance on comedy that simply doesn't land. Where the first film skillfully blended horror with humor, this sequel seems to think that more jokes automatically equal more laughs. The result is a barrage of unnecessary gags that feel out of place and forced. Instead of enhancing the narrative, the comedy detracts from it, making the film feel more like a disjointed sketch show than a cohesive story. The humor, which once felt organic and cleverly woven into the plot, now feels like a desperate attempt to recreate the magic of the original.",0
9.0,"Acting - What stands out in this movie is the acting of the entire cast, supporting roles and cameo appearances. (10/10)

Story - Story is quite skewed. First half is quite funny and second half is little bland in comparison. (8/10)

Background score and Music - The unsung hero of the movie, the one that amped up all the scenes. (9/10)

Direction - Good job here. (9/10)

Editing - Few instances I felt could have been better but anyway most of the time it is coherent. (8/10)

Comedy- The USP of the film. The comic timing of the cost members is amazing. You will laugh a lot and quite a lot of pop culture references. (10/10)

Horror - There are quite a few jump scare moments in the movie and retains the horror factor that stree 1 had cultivated. (8/10)

CGI- Maddock films have been improving in this aspect with each of their movies. Really good CGI and quite hyper-realistic. (9/10)

Overall - 9/10.","Acting - What stands out in this movie is the acting of the entire cast, supporting roles and cameo appearances. (10/10)

Story - Story is quite skewed. First half is quite funny and second half is little bland in comparison. (8/10)

Background score and Music - The unsung hero of the movie, the one that amped up all the scenes. (9/10)

Direction - Good job here. (9/10)

Editing - Few instances I felt could have been better but anyway most of the time it is coherent. (8/10)

Comedy- The USP of the film. The comic timing of the cost members is amazing. You will laugh a lot and quite a lot of pop culture references. (10/10)

Horror - There are quite a few jump scare moments in the movie and retains the horror factor that stree 1 had cultivated. (8/10)

CGI- Maddock films have been improving in this aspect with each of their movies. Really good CGI and quite hyper-realistic. (9/10)

Overall - 9/10.",1
6.0,"Yes seriously stree 2 is OK bcos its follow the same pattern as stree 2018. In both first they dont know about what is trouble and after some events they found out that what this trouble cause and same thing get one strategy and how to fight with that evil and getting one riddle from special appearance after they solve the riddle again same getting rid of that evil and thats it movie over with again but this time they call their own universe character after that movie and my wallet is over. Its good this movie is not like"" dude movie is so amazing"" movie will give some hint about universe its literally west of movie you can watch this after screening on OTT platfrom it desreve that only.","Yes seriously stree 2 is OK bcos its follow the same pattern as stree 2018. In both first they dont know about what is trouble and after some events they found out that what this trouble cause and same thing get one strategy and how to fight with that evil and getting one riddle from special appearance after they solve the riddle again same getting rid of that evil and thats it movie over with again but this time they call their own universe character after that movie and my wallet is over. Its good this movie is not like"" dude movie is so amazing"" movie will give some hint about universe its literally west of movie you can watch this after screening on OTT platfrom it desreve that only.",1
8.0,"It was a good mass entertainer. It doesnt get boring for even a second.

Firstly, the part 1 team is back. They have done excellent job same as part 1. Rao and shraddha looked too good together , their scene and chemistry worked like charm. Tripathi ji , khurana, and banerjee all were great.

Storywise movie is weaker than stree 1, but here the execution and editing is very good. Story progresses at good pace, keeps audience engaged, and never lets you rest.

There are 2 cameos and they are good. I liked the ending, it was done in perfect manner, storyline from part 1 was nicely connected.

This is a good entertainer , ill say it is less horror than part 1 but it is full pf good entertainment which is lacking in big budget movies. Watch it asap.","It was a good mass entertainer. It doesnt get boring for even a second.

Firstly, the part 1 team is back. They have done excellent job same as part 1. Rao and shraddha looked too good together , their scene and chemistry worked like charm. Tripathi ji , khurana, and banerjee all were great.

Storywise movie is weaker than stree 1, but here the execution and editing is very good. Story progresses at good pace, keeps audience engaged, and never lets you rest.

There are 2 cameos and they are good. I liked the ending, it was done in perfect manner, storyline from part 1 was nicely connected.

This is a good entertainer , ill say it is less horror than part 1 but it is full pf good entertainment which is lacking in big budget movies. Watch it asap.",1
7.0,"Stree 2 is a decent sequel which does a good job of stitching the Maddock Supernatural Universe together and carve out the path for Vampires of Vijay Nagar, Bhediya 2 and Stree 3 over the next 2 years. The movie has its moments......some really funny but a few that dont land well and some pretty effective jump scares. The actors are as likable as they were in the first movie and the story flows well from the first part through the 2nd to the next one. Overall it is a good watch....but not as good as the first part.

The performances are good especially Rajkummar Rao, Pankaj Tripathi and Abhishek Banerjee. Decent VFX and action. Some scenes and dialogs are really funny especially when delivered by these three. The cameos are pretty good. Akshay is weird, quirky and funny in his scene but didnt feel very menacing in the post credit sequence. Varun's character is well integrated in the movie and has a good entry scene but could have been utilized more effectively. His character lacks the punch and power of his first movie.

The run time of the movie is a bit long at 149 mins and would have benefited from a leaner and crisper production. The movie doesn't get boring but a tighter second half would have definitely lifted it up to the next level. If you liked Stree then you will enjoy Stree 2. However if Stree was not to your liking then Stree 2 is definitely not your cup of tea. It is a fun watch 7/10.","Stree 2 is a decent sequel which does a good job of stitching the Maddock Supernatural Universe together and carve out the path for Vampires of Vijay Nagar, Bhediya 2 and Stree 3 over the next 2 years. The movie has its moments......some really funny but a few that dont land well and some pretty effective jump scares. The actors are as likable as they were in the first movie and the story flows well from the first part through the 2nd to the next one. Overall it is a good watch....but not as good as the first part.

The performances are good especially Rajkummar Rao, Pankaj Tripathi and Abhishek Banerjee. Decent VFX and action. Some scenes and dialogs are really funny especially when delivered by these three. The cameos are pretty good. Akshay is weird, quirky and funny in his scene but didnt feel very menacing in the post credit sequence. Varun's character is well integrated in the movie and has a good entry scene but could have been utilized more effectively. His character lacks the punch and power of his first movie.

The run time of the movie is a bit long at 149 mins and would have benefited from a leaner and crisper production. The movie doesn't get boring but a tighter second half would have definitely lifted it up to the next level. If you liked Stree then you will enjoy Stree 2. However if Stree was not to your liking then Stree 2 is definitely not your cup of tea. It is a fun watch 7/10.",1
8.0,"This movie is a blend of horror and comedy..the scarier parts feel real and you will jump out of the seat and funny timing is perfect

This movie may have better story but its overall better.

Acting wise they have done their best.

Songs are less but beautiful .

This movie is worth watching whatever price you pay for your tickets , you will not regret it because this is a very good movie Every one those who have watched Stree must watch it .

But you must only watch when you have watched stree part 1 otherwise you will not enjoy .

I think every movie lover should watch this movie best one..","This movie is a blend of horror and comedy..the scarier parts feel real and you will jump out of the seat and funny timing is perfect

This movie may have better story but its overall better.

Acting wise they have done their best.

Songs are less but beautiful .

This movie is worth watching whatever price you pay for your tickets , you will not regret it because this is a very good movie Every one those who have watched Stree must watch it .

But you must only watch when you have watched stree part 1 otherwise you will not enjoy .

I think every movie lover should watch this movie best one..",1
6.0,What stree 1st part had was that desi essence. It really came well with horror comedy genre and gave a superb movie experience. Sequel is way complex and had unnecessary masala things which harmed the franchise. With the reviews and BO collection my expectations were very high but when i got the chance to watch it I was like omg what the hell is this? This is the worest movie of the maddock horror comedy universe and i really mean it. Still i give this 6 stars because it is way better than the movies which made by bollywood nowadays. But with the brand name of Stree this is a just a typical ordinary movie..,What stree 1st part had was that desi essence. It really came well with horror comedy genre and gave a superb movie experience. Sequel is way complex and had unnecessary masala things which harmed the franchise. With the reviews and BO collection my expectations were very high but when i got the chance to watch it I was like omg what the hell is this? This is the worest movie of the maddock horror comedy universe and i really mean it. Still i give this 6 stars because it is way better than the movies which made by bollywood nowadays. But with the brand name of Stree this is a just a typical ordinary movie..,1
